id,ship_type,date,lon,lat
1,TIE Fighter,2018-05-07 12:00:00,-19.9501445,27.552059
2,TIE bomber,2018-05-07 12:00:00,-19.9259155,27.527897
3,TIE bomber,2018-05-07 12:00:00,-19.9273735,27.527464
4,TIE Fighter,2018-05-07 12:00:00,-19.9154605,27.516342
5,TIE Fighter,2018-05-07 12:00:00,-19.9483335,27.557954
6,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9491655,27.555736
7,TIE Fighter,2018-05-07 12:00:00,-19.9503135,27.552943
8,TIE Fighter,2018-05-07 12:00:00,-19.9510565,27.552835
9,TIE Fighter,2018-05-07 12:00:00,-19.9458885,27.552163
10,TIE Fighter,2018-05-07 12:00:00,-19.9509025,27.551941
11,TIE Fighter,2018-05-07 12:00:00,-19.9489495,27.551055
12,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9452955,27.549918
13,Civilian Star Shuttle,2018-05-07 12:00:00,-19.9353595,27.548824
14,TIE Fighter,2018-05-07 12:00:00,-19.9478125,27.548686
15,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9491245,27.547068
16,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9457025,27.546893
17,TIE Fighter,2018-05-07 12:00:00,-19.9405795,27.543872
18,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9374265,27.543376
19,TIE bomber,2018-05-07 12:00:00,-19.9317065,27.534422
20,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9332335,27.534332
21,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9324875,27.533174
22,TIE bomber,2018-05-07 12:00:00,-19.9309745,27.532925
23,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9284215,27.532814
24,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9274185,27.531786
25,TIE Fighter,2018-05-07 12:00:00,-19.9288725,27.531621
26,TIE bomber,2018-05-07 12:00:00,-19.9280365,27.530491
27,TIE Fighter,2018-05-07 12:00:00,-19.9259905,27.530272
28,TIE bomber,2018-05-07 12:00:00,-19.9270955,27.528802
29,TIE bomber,2018-05-07 12:00:00,-19.9261835,27.526588
30,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9228115,27.522274
31,TIE Fighter,2018-05-07 12:00:00,-19.9163365,27.520926
32,TIE Fighter,2018-05-07 12:00:00,-19.9156045,27.520858
33,TIE Fighter,2018-05-07 12:00:00,-19.9209025,27.519847
34,TIE Fighter,2018-05-07 12:00:00,-19.9178705,27.519295
35,Imperial SpaceShuttle,2018-05-07 12:00:00,-19.9192265,27.518234
36,TIE Fighter,2018-05-07 12:00:00,-19.9188595,27.517461
37,TIE Fighter,2018-05-07 12:00:00,-19.9152665,27.517203
38,TIE Fighter,2018-05-07 12:00:00,-19.9148935,27.516631
39,TIE Fighter,2018-05-07 12:00:00,-19.9182765,27.51672
40,TIE Fighter,2018-05-07 12:00:00,-19.9181405,27.516531
41,TIE Fighter,2018-05-07 12:00:00,-19.9173125,27.516525
42,TIE Fighter,2018-05-07 12:00:00,-19.9171335,27.516162
43,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9452805,27.549932
44,TIE Fighter,2018-05-11 12:00:00,-19.9288705,27.531623
45,TIE Fighter,2018-05-11 12:00:00,-19.9171375,27.51616
46,TIE Fighter,2018-05-11 12:00:00,-19.9483245,27.557961
47,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9491575,27.555744
48,TIE Fighter,2018-05-11 12:00:00,-19.9503145,27.552943
49,TIE Fighter,2018-05-11 12:00:00,-19.9510565,27.552834
50,TIE Fighter,2018-05-11 12:00:00,-19.9458865,27.552162
51,TIE Fighter,2018-05-11 12:00:00,-19.9501385,27.552063
52,TIE Fighter,2018-05-11 12:00:00,-19.9509015,27.551947
53,TIE Fighter,2018-05-11 12:00:00,-19.9489495,27.551054
54,Civilian Star Shuttle,2018-05-11 12:00:00,-19.9353565,27.548819
55,TIE Fighter,2018-05-11 12:00:00,-19.9478145,27.548682
56,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9491145,27.547094
57,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9456945,27.5469
58,Civilian Star Shuttle,2018-05-11 12:00:00,-19.9405955,27.543818
59,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9374155,27.543394
60,TIE bomber,2018-05-11 12:00:00,-19.9317025,27.534427
61,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9332225,27.53434
62,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9324745,27.533177
63,TIE bomber,2018-05-11 12:00:00,-19.9309685,27.53292
64,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9284185,27.532818
65,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9274145,27.531793
66,TIE bomber,2018-05-11 12:00:00,-19.9280345,27.530484
67,TIE Fighter,2018-05-11 12:00:00,-19.9260085,27.530262
68,TIE bomber,2018-05-11 12:00:00,-19.9270985,27.528805
69,TIE bomber,2018-05-11 12:00:00,-19.9259075,27.527909
70,TIE bomber,2018-05-11 12:00:00,-19.9273755,27.527468
71,TIE bomber,2018-05-11 12:00:00,-19.9261855,27.526587
72,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9228215,27.522265
73,TIE Fighter,2018-05-11 12:00:00,-19.9163305,27.520931
74,TIE Fighter,2018-05-11 12:00:00,-19.9155995,27.520862
75,TIE Fighter,2018-05-11 12:00:00,-19.9209085,27.519839
76,TIE Fighter,2018-05-11 12:00:00,-19.9178745,27.519291
77,Imperial SpaceShuttle,2018-05-11 12:00:00,-19.9191945,27.518268
78,TIE Fighter,2018-05-11 12:00:00,-19.9188555,27.517465
79,TIE Fighter,2018-05-11 12:00:00,-19.9152755,27.517197
80,TIE Fighter,2018-05-11 12:00:00,-19.9149055,27.516621
81,TIE Fighter,2018-05-11 12:00:00,-19.9154595,27.516339
82,TIE Fighter,2018-05-11 12:00:00,-19.9182735,27.516721
83,TIE Fighter,2018-05-11 12:00:00,-19.9181415,27.51654
84,TIE Fighter,2018-05-11 12:00:00,-19.9173285,27.516513
85,TIE Fighter,2018-05-16 12:00:00,-19.9483255,27.557971
86,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9491585,27.555752
87,TIE Fighter,2018-05-16 12:00:00,-19.9302095,27.555362
88,TIE Fighter,2018-05-16 12:00:00,-19.9503125,27.552946
89,TIE Fighter,2018-05-16 12:00:00,-19.9510585,27.552837
90,TIE Fighter,2018-05-16 12:00:00,-19.9458835,27.552172
91,TIE Fighter,2018-05-16 12:00:00,-19.9501395,27.552069
92,TIE Fighter,2018-05-16 12:00:00,-19.9509005,27.551954
93,TIE Fighter,2018-05-16 12:00:00,-19.9489445,27.551062
94,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9452855,27.549942
95,Civilian Star Shuttle,2018-05-16 12:00:00,-19.9353545,27.548821
96,TIE Fighter,2018-05-16 12:00:00,-19.9478085,27.548684
97,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9491165,27.547107
98,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9456965,27.546901
99,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9374215,27.543397
100,TIE bomber,2018-05-16 12:00:00,-19.9316995,27.534422
101,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9332245,27.53435
102,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9324785,27.53318
103,TIE bomber,2018-05-16 12:00:00,-19.9309675,27.532931
104,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9284215,27.532817
105,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9274165,27.531793
106,TIE Fighter,2018-05-16 12:00:00,-19.9288735,27.531632
107,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9369195,27.531526
108,TIE bomber,2018-05-16 12:00:00,-19.9280415,27.530498
109,TIE Fighter,2018-05-16 12:00:00,-19.9259985,27.530259
110,TIE bomber,2018-05-16 12:00:00,-19.9271005,27.528812
111,TIE bomber,2018-05-16 12:00:00,-19.9259105,27.527916
112,TIE bomber,2018-05-16 12:00:00,-19.9273815,27.527472
113,TIE bomber,2018-05-16 12:00:00,-19.9261815,27.526588
114,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9228135,27.522259
115,TIE Fighter,2018-05-16 12:00:00,-19.9163335,27.520935
116,TIE Fighter,2018-05-16 12:00:00,-19.9156015,27.52086
117,TIE Fighter,2018-05-16 12:00:00,-19.9209045,27.519844
118,TIE Fighter,2018-05-16 12:00:00,-19.9178655,27.519289
119,Imperial SpaceShuttle,2018-05-16 12:00:00,-19.9192125,27.518277
120,TIE Fighter,2018-05-16 12:00:00,-19.9188585,27.517472
121,TIE Fighter,2018-05-16 12:00:00,-19.9152685,27.51719
122,TIE Fighter,2018-05-16 12:00:00,-19.9148985,27.516617
123,TIE Fighter,2018-05-16 12:00:00,-19.9182745,27.516728
124,TIE Fighter,2018-05-16 12:00:00,-19.9181445,27.516543
125,TIE Fighter,2018-05-16 12:00:00,-19.9154595,27.516337
126,TIE Fighter,2018-05-16 12:00:00,-19.9171395,27.51616
127,TIE Fighter,2018-05-19 12:00:00,-19.9489515,27.551057
128,TIE bomber,2018-05-19 12:00:00,-19.9280545,27.530475
129,TIE Fighter,2018-05-19 12:00:00,-19.9483495,27.557951
130,Imperial SpaceShuttle,2018-05-19 12:00:00,-19.9491795,27.555733
131,TIE Fighter,2018-05-19 12:00:00,-19.9302165,27.555348
132,TIE Fighter,2018-05-19 12:00:00,-19.9503155,27.552949
133,TIE Fighter,2018-05-19 12:00:00,-19.9510495,27.552837
134,TIE Fighter,2018-05-19 12:00:00,-19.9458895,27.552163
135,TIE Fighter,2018-05-19 12:00:00,-19.9501505,27.552062
136,TIE Fighter,2018-05-19 12:00:00,-19.9509055,27.551944
137,Imperial SpaceShuttle,2018-05-19 12:00:00,-19.9453105,27.549912
138,TIE Fighter,2018-05-19 12:00:00,-19.9478065,27.548689
139,Imperial SpaceShuttle,2018-05-19 12:00:00,-19.9491355,27.547057
140,Imperial SpaceShuttle,2018-05-19 12:00:00,-19.9457025,27.546887
