id,ship_type,date,lon,lat
690,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9452755,27.549931
691,Civilian Star Shuttle,2019-01-10 12:00:00,-19.9353545,27.54882
692,TIE Fighter,2019-01-10 12:00:00,-19.9260035,27.530263
693,TIE Fighter,2019-01-10 12:00:00,-19.9483205,27.557966
694,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9491545,27.555746
695,TIE Fighter,2019-01-10 12:00:00,-19.9503095,27.552947
696,TIE Fighter,2019-01-10 12:00:00,-19.9510555,27.552839
697,TIE Fighter,2019-01-10 12:00:00,-19.9458825,27.55217
698,TIE Fighter,2019-01-10 12:00:00,-19.9501355,27.552065
699,TIE Fighter,2019-01-10 12:00:00,-19.9509035,27.55195
700,TIE Fighter,2019-01-10 12:00:00,-19.9489435,27.551059
701,TIE Fighter,2019-01-10 12:00:00,-19.9478155,27.54869
702,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9491115,27.547084
703,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9456935,27.546897
704,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9374095,27.543386
705,TIE bomber,2019-01-10 12:00:00,-19.9316975,27.534424
706,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9332215,27.534337
707,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9324735,27.533179
708,TIE bomber,2019-01-10 12:00:00,-19.9309665,27.532928
709,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9284195,27.532817
710,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9274135,27.531788
711,TIE Fighter,2019-01-10 12:00:00,-19.9288665,27.531623
712,TIE bomber,2019-01-10 12:00:00,-19.9280335,27.530494
713,TIE bomber,2019-01-10 12:00:00,-19.9271005,27.528803
714,TIE bomber,2019-01-10 12:00:00,-19.9259025,27.527903
715,TIE bomber,2019-01-10 12:00:00,-19.9273855,27.527467
716,TIE bomber,2019-01-10 12:00:00,-19.9261835,27.526587
717,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9228155,27.522266
718,TIE Fighter,2019-01-10 12:00:00,-19.9163285,27.520926
719,TIE Fighter,2019-01-10 12:00:00,-19.9155955,27.520857
720,TIE Fighter,2019-01-10 12:00:00,-19.9209065,27.519847
721,TIE Fighter,2019-01-10 12:00:00,-19.9178735,27.519289
722,Imperial SpaceShuttle,2019-01-10 12:00:00,-19.9191935,27.518246
723,TIE Fighter,2019-01-10 12:00:00,-19.9152705,27.517193
724,TIE Fighter,2019-01-10 12:00:00,-19.9188515,27.517466
725,TIE Fighter,2019-01-10 12:00:00,-19.9149025,27.516621
726,TIE Fighter,2019-01-10 12:00:00,-19.9182655,27.516719
727,TIE Fighter,2019-01-10 12:00:00,-19.9181345,27.516531
728,TIE Fighter,2019-01-10 12:00:00,-19.9154585,27.516339
729,TIE Fighter,2019-01-10 12:00:00,-19.9171365,27.516157
730,TIE Fighter,2019-01-21 12:00:00,-19.9501375,27.552067
731,TIE Fighter,2019-01-21 12:00:00,-19.9489445,27.551059
732,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9452805,27.549933
733,Civilian Star Shuttle,2019-01-21 12:00:00,-19.9353555,27.548821
734,TIE Fighter,2019-01-21 12:00:00,-19.9478115,27.548683
735,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9491135,27.547102
736,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9456905,27.546901
737,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9374175,27.543391
738,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9363645,27.536721
739,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9332245,27.534344
740,TIE bomber,2019-01-21 12:00:00,-19.9317005,27.534422
741,TIE bomber,2019-01-21 12:00:00,-19.9309625,27.53293
742,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9324775,27.533181
743,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9284205,27.532818
744,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9274145,27.531793
745,TIE Fighter,2019-01-21 12:00:00,-19.9288675,27.531626
746,TIE Fighter,2019-01-21 12:00:00,-19.9259985,27.530261
747,TIE bomber,2019-01-21 12:00:00,-19.9270915,27.528812
748,TIE bomber,2019-01-21 12:00:00,-19.9259125,27.527917
749,TIE bomber,2019-01-21 12:00:00,-19.9273825,27.527475
750,TIE bomber,2019-01-21 12:00:00,-19.9261875,27.526594
751,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9228135,27.522265
752,TIE Fighter,2019-01-21 12:00:00,-19.9163285,27.520937
753,TIE Fighter,2019-01-21 12:00:00,-19.9155965,27.520864
754,TIE Fighter,2019-01-21 12:00:00,-19.9209035,27.519848
755,TIE Fighter,2019-01-21 12:00:00,-19.9178665,27.519293
756,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9191975,27.518279
757,TIE Fighter,2019-01-21 12:00:00,-19.9188535,27.517475
758,TIE Fighter,2019-01-21 12:00:00,-19.9152695,27.517195
759,TIE Fighter,2019-01-21 12:00:00,-19.9148985,27.516621
760,TIE Fighter,2019-01-21 12:00:00,-19.9182685,27.51673
761,TIE Fighter,2019-01-21 12:00:00,-19.9181365,27.516544
762,TIE Fighter,2019-01-21 12:00:00,-19.9154595,27.516342
763,TIE Fighter,2019-01-21 12:00:00,-19.9171375,27.51616
764,TIE Fighter,2019-01-21 12:00:00,-19.9483255,27.557967
765,Imperial SpaceShuttle,2019-01-21 12:00:00,-19.9491565,27.55575
766,TIE Fighter,2019-01-21 12:00:00,-19.9503115,27.552945
767,TIE Fighter,2019-01-21 12:00:00,-19.9510525,27.552837
768,TIE Fighter,2019-01-21 12:00:00,-19.9458805,27.552168
769,TIE Fighter,2019-01-21 12:00:00,-19.9509015,27.551949
770,TIE Fighter,2019-02-09 12:00:00,-19.9503125,27.552947
771,TIE Fighter,2019-02-09 12:00:00,-19.9510595,27.552838
772,Imperial SpaceShuttle,2019-02-09 12:00:00,-19.9324745,27.533175
773,TIE Fighter,2019-02-09 12:00:00,-19.9182645,27.516727
774,TIE Fighter,2019-02-09 12:00:00,-19.9181345,27.516541
775,TIE Fighter,2019-02-09 12:00:00,-19.9483215,27.557969
776,Imperial SpaceShuttle,2019-02-09 12:00:00,-19.9491565,27.55575
777,TIE Fighter,2019-02-09 12:00:00,-19.9458835,27.552169
778,TIE Fighter,2019-02-09 12:00:00,-19.9501385,27.552067
779,TIE Fighter,2019-02-09 12:00:00,-19.9509025,27.551955
780,TIE Fighter,2019-02-09 12:00:00,-19.9489465,27.55106
781,Imperial SpaceShuttle,2019-02-09 12:00:00,-19.9452805,27.54994
