id,ship_type,date,lon,lat
531,TIE Fighter,2018-12-06 12:00:00,-19.9510555,27.552833
532,TIE Fighter,2018-12-06 12:00:00,-19.9508975,27.551945
533,TIE Fighter,2018-12-06 12:00:00,-19.9489485,27.551055
534,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9452855,27.54993
535,Civilian Star Shuttle,2018-12-06 12:00:00,-19.9353605,27.548817
536,TIE Fighter,2018-12-06 12:00:00,-19.9478125,27.548689
537,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9491135,27.547091
538,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9456975,27.5469
539,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9374205,27.54339
540,TIE bomber,2018-12-06 12:00:00,-19.9317015,27.534439
541,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9332255,27.534343
542,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9324785,27.533182
543,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9284185,27.532823
544,TIE bomber,2018-12-06 12:00:00,-19.9309675,27.532943
545,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9274155,27.531797
546,TIE Fighter,2018-12-06 12:00:00,-19.9288695,27.531624
547,TIE bomber,2018-12-06 12:00:00,-19.9280305,27.530504
548,TIE Fighter,2018-12-06 12:00:00,-19.9259955,27.530264
549,TIE bomber,2018-12-06 12:00:00,-19.9270955,27.528812
550,TIE bomber,2018-12-06 12:00:00,-19.9259145,27.527914
551,TIE bomber,2018-12-06 12:00:00,-19.9273775,27.527473
552,TIE bomber,2018-12-06 12:00:00,-19.9261895,27.526588
553,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9228125,27.522262
554,TIE Fighter,2018-12-06 12:00:00,-19.9163305,27.520931
555,TIE Fighter,2018-12-06 12:00:00,-19.9155995,27.520866
556,TIE Fighter,2018-12-06 12:00:00,-19.9209045,27.519843
557,TIE Fighter,2018-12-06 12:00:00,-19.9178695,27.519292
558,Civilian Star Shuttle,2018-12-06 12:00:00,-19.9192115,27.518261
559,TIE Fighter,2018-12-06 12:00:00,-19.9188585,27.517468
560,TIE Fighter,2018-12-06 12:00:00,-19.9152685,27.517195
561,TIE Fighter,2018-12-06 12:00:00,-19.9148955,27.516628
562,TIE Fighter,2018-12-06 12:00:00,-19.9182665,27.516732
563,TIE Fighter,2018-12-06 12:00:00,-19.9181405,27.516537
564,TIE Fighter,2018-12-06 12:00:00,-19.9154605,27.516344
565,TIE Fighter,2018-12-06 12:00:00,-19.9171335,27.516159
566,TIE Fighter,2018-12-06 12:00:00,-19.9483285,27.557965
567,Imperial SpaceShuttle,2018-12-06 12:00:00,-19.9491615,27.555748
568,TIE Fighter,2018-12-06 12:00:00,-19.9503115,27.552943
569,TIE Fighter,2018-12-06 12:00:00,-19.9458875,27.552169
570,TIE Fighter,2018-12-06 12:00:00,-19.9501385,27.552067
